name,cols,rows,equalities,nz,density,bin,int,cont,rpart,rpack,rcov,rcard,rknp,riknp,rflowbin,rflowint,rflowmx,rvbound,rother,objMin,objMax,objAv,objMed,objAllInt,objRatioLSA,rhsMin,rhsMax,rhsAv,rhsMed,rhsAllInt,rhsRatioLSA,aMin,aMax,aAv,aMed,aAllInt,aRatioLSA
1024_0,73728,67583,18431,270324,0.005425186668615,73728,0,0,18431,0,0,0,0,0,0,0,0,0,49152,0,1,5.42535E-05,0,1,1,0,1,0.272717,0,1,1,-1,1,0.636347,1,1,1
10teams,2025,230,135,12150,2.60869565217391,1800,0,225,80,40,0,0,0,0,0,0,0,0,110,2,86,21.3333,17,1,43,1,2,1.21739,1,1,2,1,1,1,1,1,1
116_205_1262_66,258915,106427,1262,11731883,0.042575395529609,258915,0,0,1262,0,0,0,0,0,0,0,0,0,105165,0,1,0.000791766,0,1,1,0,1,0.0118579,0,1,1,-1,1,0.982072,1,1,1
121_147_1345_33,197862,83077,1345,3129057,0.019035762362367,197862,0,0,1345,0,0,0,0,0,0,0,0,0,81732,0,1,0.000742942,0,1,1,0,1,0.0161898,0,1,1,-1,1,0.947759,1,1,1
121_147_1345_33_pp,66302,34569,1345,1340470,0.058484886729438,66302,0,0,1345,0,0,0,0,0,0,0,0,0,33224,0,1,0.00221713,0,1,1,0,1,0.0389077,0,1,1,-1,1,0.950429,1,1,1
23844-T1_0,47237,60575,3476,589221,0.020592187596531,28809,2948,15480,0,10200,0,0,0,1029,0,0,1471,0,47875,0,100000000,2909850,0,0,100000000,-998,26400,24.8745,0,1,26400,-1000,1000,10.3994,1,0,4000
256_0,18432,16895,4607,67572,0.021698819917135,18432,0,0,4607,0,0,0,0,0,0,0,0,0,12288,0,1,0.000217014,0,1,1,0,1,0.272684,0,1,1,-1,1,0.636299,1,1,1
30n20b8,18380,576,90,109706,1.0362448615645,11036,7344,0,0,0,0,0,0,0,0,60,0,0,516,0,100,0.00821545,0,1,1.96078,0,1,0.0520833,0,1,1,-1,224,37.5192,2,1,224
3TS1,1024,169162,0,338324,0.1953125,1024,0,0,0,0,0,0,0,0,0,0,0,0,169162,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1
50v-10,2013,233,50,2745,0.585251658213032,1464,183,366,0,0,0,0,0,0,0,0,24,0,209,0,721.62,111.336,65.33,0,437.345,-97,1347,0,0,1,122.455,-216,1,-43.4667,-12,1,216
512_0,36864,33791,9215,135156,0.010850052220512,36864,0,0,9215,0,0,0,0,0,0,0,0,0,24576,0,1,0.000108507,0,1,1,0,1,0.272706,0,1,1,-1,1,0.636331,1,1,1
A-1,18598,1015,72,214740,1.13757663438571,18547,51,0,24,0,0,0,903,0,0,44,0,0,44,0,100000,10.7539,0,1,100000,-1,66,15.8463,16,1,66,-1,300,17.628,5,1,300
A-2,35105,1110,132,494516,1.2690782222188,35014,91,0,44,0,0,0,894,0,0,84,0,0,88,0,100000,5.69722,0,1,100000,-1,118,19.173,23,1,118,-1,300,15.2849,5,1,300
A-4-cuts,10797,5071,385,427425,0.780662302994067,10117,620,60,111,1847,0,0,415,24,133,76,55,0,2410,-91,1,-0.00796517,0,0,9100000,0,63,2.10116,1,1,63,-90,90,2.40518,1,1,90
A-5,48651,1992,735,787961,0.813061912404711,48430,221,0,220,0,0,0,1072,0,310,205,0,0,185,-127,1,-0.00250766,0,1,127,0,140,12.3278,13,1,140,-182,182,9.1533,5,1,182
a05100,500,105,100,1000,1.90476190476191,500,0,0,100,0,0,0,5,0,0,0,0,0,0,10,50,31.268,32,1,5,1,342,17.2381,1,1,342,1,25,7.88,5,1,25
a10100,1000,110,100,2000,1.81818181818182,1000,0,0,100,0,0,0,10,0,0,0,0,0,0,10,50,30.02,30,1,5,1,192,18.3636,1,1,192,1,25,7.8645,5,1,25
a10200,2000,210,200,4000,0.952380952380952,2000,0,0,200,0,0,0,10,0,0,0,0,0,0,10,50,30.1425,30,1,5,1,365,18.3333,1,1,365,1,25,8.05,5,1,25
a1c1s1,3648,3312,1248,10178,0.084239792567167,192,0,3456,0,0,0,0,0,0,0,0,1185,0,2127,0,250,6.64591,0,0,11111.1,0,5000,88.2425,0,1,5000,-480,100,-42.9607,1,0,480
a20200,4000,220,200,8000,0.909090909090909,4000,0,0,200,0,0,0,20,0,0,0,0,0,0,10,50,29.7587,30,1,5,1,199,19,1,1,199,1,25,8.04637,5,1,25
